record_id,source_id,example_id,series,recycled_component_wt_pct,recycled_component_mass_g,propanediol_mass_g,azelaic_acid_mass_g,catalyst,catalyst_wt_pct,polyol_oh_value_mg_koh_g,polyol_acid_value_qualifier,dsc_tc_c,dsc_status,evidence_locator,notes
RESINATE17_POLY_1,PAT_US20170066950A1,1,PET,5,75.0,427.5,996.0,butyltin hydroxide oxide hydrate,0.10,18.7,<2.0,,not_example_specific,Example 1,PET examples use recycled polyethylene terephthalate; PC examples use recycled bisphenol-A polycarbonate. Example-specific Tc is not reported; general/claim DSC ranges are stored in methods only.
RESINATE17_POLY_2,PAT_US20170066950A1,2,PET,10,150.0,412.5,936.0,butyltin hydroxide oxide hydrate,0.10,18.4,procedure-linked <2.0,,not_example_specific,Example 2,PET examples use recycled polyethylene terephthalate; PC examples use recycled bisphenol-A polycarbonate. Example-specific Tc is not reported; general/claim DSC ranges are stored in methods only.
RESINATE17_POLY_3,PAT_US20170066950A1,3,PET,15,225.0,390.0,883.5,butyltin hydroxide oxide hydrate,0.10,19.6,procedure-linked <2.0,,not_example_specific,Example 3,PET examples use recycled polyethylene terephthalate; PC examples use recycled bisphenol-A polycarbonate. Example-specific Tc is not reported; general/claim DSC ranges are stored in methods only.
RESINATE17_POLY_C4,PAT_US20170066950A1,C4,PET,0,0,251.7,597.5,butyltin hydroxide oxide hydrate,0.10,29.8,<2.0,,not_example_specific,Example C4,PET examples use recycled polyethylene terephthalate; PC examples use recycled bisphenol-A polycarbonate. Example-specific Tc is not reported; general/claim DSC ranges are stored in methods only.
RESINATE17_POLY_5,PAT_US20170066950A1,5,PC,5,22.5,127.2,299.9,butyltin hydroxide oxide hydrate,0.10,28.2,<2.0,,not_example_specific,Example 5,PET examples use recycled polyethylene terephthalate; PC examples use recycled bisphenol-A polycarbonate. Example-specific Tc is not reported; general/claim DSC ranges are stored in methods only.
RESINATE17_POLY_6,PAT_US20170066950A1,6,PC,10,45.0,120.6,284.0,butyltin hydroxide oxide hydrate,0.10,47.1,procedure-linked <2.0,,not_example_specific,Example 6,PET examples use recycled polyethylene terephthalate; PC examples use recycled bisphenol-A polycarbonate. Example-specific Tc is not reported; general/claim DSC ranges are stored in methods only.
RESINATE17_POLY_7,PAT_US20170066950A1,7,PC,15,67.5,114.3,267.8,butyltin hydroxide oxide hydrate,0.10,58.6,procedure-linked <2.0,,not_example_specific,Example 7,PET examples use recycled polyethylene terephthalate; PC examples use recycled bisphenol-A polycarbonate. Example-specific Tc is not reported; general/claim DSC ranges are stored in methods only.
RESINATE17_POLY_C8,PAT_US20170066950A1,C8,PC,0,0,251.7,597.5,butyltin hydroxide oxide hydrate,0.10,18.9,<2.0,,not_example_specific,Example C8,PET examples use recycled polyethylene terephthalate; PC examples use recycled bisphenol-A polycarbonate. Example-specific Tc is not reported; general/claim DSC ranges are stored in methods only.
