record_id,source_id,polyol_record_id,example_id,polyol_oh_value_mg_koh_g,isocyanate,target_free_nco_wt_pct,actual_free_nco_wt_pct,actual_over_target_ratio,initial_polyol_temp_c,pre_stir_time_min,mdi_addition_temp_control_c,post_exotherm_reaction_temp_c,reaction_time_min,free_nco_method,silane_wt_pct,dbtdl_ppm,evidence_locator,notes
RESINATE17_PRE_1,PAT_US20170066950A1,RESINATE17_POLY_1,1,18.7,MDI powder,2.5,2.09,0.836,80,30,<=90,115,60,ASTM D-1638-74; excess di-n-butylamine/back titration,1.0,500,Table 1; paragraph [0060],Actual free NCO is reported measured value after the 115 C / 1 h reaction and before final additive mixing.
RESINATE17_PRE_2,PAT_US20170066950A1,RESINATE17_POLY_2,2,18.4,MDI powder,3.5,2.03,0.58,80,30,<=90,115,60,ASTM D-1638-74; excess di-n-butylamine/back titration,1.0,500,Table 1; paragraph [0060],Actual free NCO is reported measured value after the 115 C / 1 h reaction and before final additive mixing.
RESINATE17_PRE_3,PAT_US20170066950A1,RESINATE17_POLY_3,3,19.6,MDI powder,3.5,1.74,0.49714,80,30,<=90,115,60,ASTM D-1638-74; excess di-n-butylamine/back titration,1.0,500,Table 1; paragraph [0060],Actual free NCO is reported measured value after the 115 C / 1 h reaction and before final additive mixing.
RESINATE17_PRE_C4,PAT_US20170066950A1,RESINATE17_POLY_C4,C4,29.8,MDI powder,2.5,1.78,0.712,80,30,<=90,115,60,ASTM D-1638-74; excess di-n-butylamine/back titration,1.0,500,Table 1; paragraph [0060],Actual free NCO is reported measured value after the 115 C / 1 h reaction and before final additive mixing.
RESINATE17_PRE_5,PAT_US20170066950A1,RESINATE17_POLY_5,5,28.2,MDI powder,3.0,1.2,0.4,80,30,<=90,115,60,ASTM D-1638-74; excess di-n-butylamine/back titration,1.0,500,Table 1; paragraph [0060],Actual free NCO is reported measured value after the 115 C / 1 h reaction and before final additive mixing.
RESINATE17_PRE_6,PAT_US20170066950A1,RESINATE17_POLY_6,6,47.1,MDI powder,3.0,1.65,0.55,80,30,<=90,115,60,ASTM D-1638-74; excess di-n-butylamine/back titration,1.0,500,Table 1; paragraph [0060],Actual free NCO is reported measured value after the 115 C / 1 h reaction and before final additive mixing.
RESINATE17_PRE_7,PAT_US20170066950A1,RESINATE17_POLY_7,7,58.6,MDI powder,3.0,1.48,0.49333,80,30,<=90,115,60,ASTM D-1638-74; excess di-n-butylamine/back titration,1.0,500,Table 1; paragraph [0060],Actual free NCO is reported measured value after the 115 C / 1 h reaction and before final additive mixing.
RESINATE17_PRE_C8,PAT_US20170066950A1,RESINATE17_POLY_C8,C8,18.9,MDI powder,2.5,1.27,0.508,80,30,<=90,115,60,ASTM D-1638-74; excess di-n-butylamine/back titration,1.0,500,Table 1; paragraph [0060],Actual free NCO is reported measured value after the 115 C / 1 h reaction and before final additive mixing.
