record_id,source_id,rhm_number,example_class,dynacoll_7130_parts,dynacoll_7230_parts,third_polyester_id,third_polyester_parts,polyol_total_parts,isocyanate,oh_nco_ratio,drying_temperature_c,reaction_temperature_c,reaction_time_min,prepolymer_viscosity_pa_s,prepolymer_viscosity_temperature_c,softening_point_c,bond_strength_aluminium_n_mm2,bond_strength_abs_n_mm2,bond_strength_polyamide_n_mm2,bond_strength_pmma_n_mm2,cure_time_days,cure_temperature_c,relative_humidity_pct,viscosity_method,bond_method,evidence_locator,notes
EP2167600_RHM_1,PAT_US20100105831A1,1,inventive,35,25,HP_e,40,100,"4,4'-MDI",1:2.2,130,130,45,7,130,45,5,8,6,6,7,20,65,Brookfield Thermosel spindle 27,DIN EN 1465,US20100105831A1 / EP2167600 Table 2,"Polyol blend composition is fixed at 35/25/40; only the identity of the third 40-part polyester changes."
EP2167600_RHM_2,PAT_US20100105831A1,2,comparative,35,25,HP_Vc,40,100,"4,4'-MDI",1:2.2,130,130,45,5,130,55,3,5,3,2,7,20,65,Brookfield Thermosel spindle 27,DIN EN 1465,US20100105831A1 / EP2167600 Table 2,"Polyol blend composition is fixed at 35/25/40; only the identity of the third 40-part polyester changes."
EP2167600_RHM_3,PAT_US20100105831A1,3,inventive,35,25,HP_b,40,100,"4,4'-MDI",1:2.2,130,130,45,6,130,65,6,8,4,4,7,20,65,Brookfield Thermosel spindle 27,DIN EN 1465,US20100105831A1 / EP2167600 Table 2,"Polyol blend composition is fixed at 35/25/40; only the identity of the third 40-part polyester changes."
EP2167600_RHM_4,PAT_US20100105831A1,4,inventive,35,25,HP_f,40,100,"4,4'-MDI",1:2.2,130,130,45,5,130,45,4,8,7,5,7,20,65,Brookfield Thermosel spindle 27,DIN EN 1465,US20100105831A1 / EP2167600 Table 2,"Polyol blend composition is fixed at 35/25/40; only the identity of the third 40-part polyester changes."
EP2167600_RHM_5,PAT_US20100105831A1,5,comparative,35,25,HP_Vb,40,100,"4,4'-MDI",1:2.2,130,130,45,7,130,63,4,3,1,2,7,20,65,Brookfield Thermosel spindle 27,DIN EN 1465,US20100105831A1 / EP2167600 Table 2,"Polyol blend composition is fixed at 35/25/40; only the identity of the third 40-part polyester changes."
EP2167600_RHM_6,PAT_US20100105831A1,6,inventive,35,25,HP_c,40,100,"4,4'-MDI",1:2.2,130,130,45,13,130,75,7,7,3,3,7,20,65,Brookfield Thermosel spindle 27,DIN EN 1465,US20100105831A1 / EP2167600 Table 2,"Polyol blend composition is fixed at 35/25/40; only the identity of the third 40-part polyester changes."
EP2167600_RHM_7,PAT_US20100105831A1,7,inventive,35,25,HP_d,40,100,"4,4'-MDI",1:2.2,130,130,45,8,130,60,5,7,3,5,7,20,65,Brookfield Thermosel spindle 27,DIN EN 1465,US20100105831A1 / EP2167600 Table 2,"Polyol blend composition is fixed at 35/25/40; only the identity of the third 40-part polyester changes."
EP2167600_RHM_8,PAT_US20100105831A1,8,comparative,35,25,HP_Va,40,100,"4,4'-MDI",1:2.2,130,130,45,10,130,75,4,4,1,2,7,20,65,Brookfield Thermosel spindle 27,DIN EN 1465,US20100105831A1 / EP2167600 Table 2,"Polyol blend composition is fixed at 35/25/40; only the identity of the third 40-part polyester changes."
EP2167600_RHM_9,PAT_US20100105831A1,9,inventive,35,25,HP_a,40,100,"4,4'-MDI",1:2.2,130,130,45,17,130,64,4,6,3,3,7,20,65,Brookfield Thermosel spindle 27,DIN EN 1465,US20100105831A1 / EP2167600 Table 2,"Polyol blend composition is fixed at 35/25/40; only the identity of the third 40-part polyester changes."
