supplier,grade,material_family,application,form_25c,hydroxyl_value_mg_koh_g,acid_value_mg_koh_g,water_max_wt_pct,equivalent_weight_g_eq,functionality,viscosity_cp,viscosity_temperature_c,melting_point_c,density_25c_g_ml,source_url,evidence_type,notes
Stepan,STEPANPOL PC-205P-56,aliphatic_polyester_polyol,polyurethane adhesives; shorter open time; higher initial green strength,,54-58,1.0,0.05,1000,2.0,2800,80,64,,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/product-bulletins/polymers/STEPANPOLPC205P56.pdf,official_product_bulletin,"Primary hydroxyl groups; manufacturer states use in polyurethane adhesives and consistent set time at higher ambient temperature."
Stepan,STEPANPOL PC-5120P-20,hybrid_polyester_polyol,adhesives; reactive hot melt adhesives,Liquid,22,3,,,,6000,25,,,https://www.stepan.com/content/stepan-dot-com/en/products-markets/product/STEPANPOLPC5120P20.html,official_product_page,"Proprietary linear aliphatic branched polyester polyol; exclusively primary hydroxyl groups."
Stepan,STEPANPOL PDP-70,hybrid_aromatic_polyester_polyol,adhesives; reactive hot melt adhesives,Liquid,70,1,,,,1900,25,,1.08,https://www.stepan.com/content/stepan-dot-com/en/products-markets/product/STEPANPOLPDP70.html,official_product_page,"Designed to impart flexibility and ether/ester compatibility in laminating adhesives."
Stepan,STEPANPOL PC-5000P-30,aromatic_polyester_polyol,adhesives; reactive hot melt adhesives,Liquid,30,1,,,,10200,25,,1.21,https://www.stepan.com/content/stepan-dot-com/en/products-markets/product/STEPANPOLPC5000P30.html,official_product_page,"Prepolymer-grade amorphous polyester polyol designed to impart an excellent bonding profile."
Stepan,STEPANPOL PC-5090P-56,modified_polyester_polyol,coatings; adhesives; sealants; elastomers,Solid,55,0.7,,,,1500,60,,1.17,https://www.stepan.com/content/stepan-dot-com/en/products-markets/product/STEPANPOLPC5090P56.html,official_product_page,"Official Stepan product page."
