measurement_id,experiment_id,formulation_id,source_id,sample_id,measurement_stage,property_name_raw,property_name_normalized,value,qualifier,value_min,value_max,uncertainty,unit,original_value,original_unit,temperature_c,temperature_min_c,temperature_max_c,time_value,time_unit,humidity_pct,condition,method_or_standard,substrate_1,substrate_2,failure_mode,n_replicates,evidence_type,evidence_locator,extraction_method,quality_level,source_url,notes
M_CN116_PRE_NCO_PREF,CN116265556B_ENVELOPE,,CN_PAT_CN116265556B,CLAIMED_RANGE,prepolymer,扩链前预聚体NCO含量,NCO_content,,preferred_range,2.9,3.7,,wt.%,2.9-3.7%,%,,,,,,,before chain extender; pure PU component excluding tackifying resin per patent definition,,,,,,claimed_range,Description/Claim 1; lines 465 and preceding preferred range,manual structured transcription from Google Patents HTML,B,https://patents.google.com/patent/CN116265556B/zh,Broader disclosed range 2.0-4.0%; preferred range stored.
M_CN116_FINAL_NCO_PREF,CN116265556B_ENVELOPE,,CN_PAT_CN116265556B,CLAIMED_RANGE,hot_melt,最终反应体系NCO含量,NCO_content,,preferred_range,1.8,2.6,,wt.%,1.8-2.6%,%,,,,,,,after chain extension at theoretical endpoint,,,,,,claimed_range,Description lines 383-387,manual structured transcription from Google Patents HTML,B,https://patents.google.com/patent/CN116265556B/zh,Broader disclosed range 1.0-3.0%; preferred range stored.
M_CN116_VISC120_PREF,CN116265556B_ENVELOPE,,CN_PAT_CN116265556B,CLAIMED_RANGE,hot_melt,120℃粘度,melt_viscosity,,preferred_range,20000,30000,,mPa.s,20000-30000 mPa.s,mPa.s,120,,,,,,,,,,,,claimed_range,Description lines 383-387,manual structured transcription from Google Patents HTML,B,https://patents.google.com/patent/CN116265556B/zh,Broader disclosed range 13000-35000 mPa.s; preferred range stored.
M_CN116_CLEANFREE_MIN,CN116265556B_ENVELOPE,,CN_PAT_CN116265556B,CLAIMED_RANGE,cured_other,免清洗时间,clean_free_time,72,>=,72,,,h,>=72 h,h,23,,,,,50,board edge/L-shaped edge application,FTIR NCO peak disappearance (patent protocol),,,,,claimed_range,Description lines 389-392 and test protocol 425-430,manual structured transcription from Google Patents HTML,B,https://patents.google.com/patent/CN116265556B/zh,
M_CN116_POLYOL_VISC120,CN116265556B_ENVELOPE,,CN_PAT_CN116265556B,temperature_sensitive_polyester,raw_material,温敏性聚酯多元醇120℃粘度,raw_material_viscosity,,claimed_range,400,1000,,mPa.s,400-1000 mPa.s,mPa.s,120,,,,,,temperature-sensitive polyester polyol,,,,,,claimed_range,Claim 7 / description,manual structured transcription from Google Patents HTML,B,https://patents.google.com/patent/CN116265556B/zh,Paired with 60 C range; useful as a temperature-sensitivity descriptor.
M_CN116_POLYOL_VISC60,CN116265556B_ENVELOPE,,CN_PAT_CN116265556B,temperature_sensitive_polyester,raw_material,温敏性聚酯多元醇60℃粘度,raw_material_viscosity,,claimed_range,10000,30000,,mPa.s,10000-30000 mPa.s,mPa.s,60,,,,,,temperature-sensitive polyester polyol,,,,,,claimed_range,Claim 7 / description,manual structured transcription from Google Patents HTML,B,https://patents.google.com/patent/CN116265556B/zh,Paired with 120 C range.
