source_id,standard_number,title,title_en,standard_type,status,publication_date,implementation_date,last_review_date,last_review_conclusion,ccs,ics,property_scope,adopted_standard,supersedes,revision_plan,official_url,notes
CN_STD_HGT3660_1999,HG/T 3660-1999,热熔胶粘剂熔融粘度的测定,Testing methods for melt viscosity of hot-melt adhesives,industry_HG,current,1999-06-16,2000-06-01,,,G38,83.180,melt_viscosity,JIS K 6862:1984 MOD,,,https://std.samr.gov.cn/hb/search/stdHBDetailedCNF?id=8B1827F159E3BB19E05397BE0A0AB44A,180 C default; alternative agreed temperatures permitted; maximum stated range 200 Pa.s
CN_STD_HGT3716_2003,HG/T 3716-2003,热熔胶粘剂开放时间的测定,Determination of open time of hot-melt adhesives,industry_HG,current,2004-01-09,2004-05-01,,,G38,,open_time,,,,https://std.samr.gov.cn/hb/search/stdHBDetailedCNF?id=8B1827F18A0DBB19E05397BE0A0AB44A,Official standard metadata verified
CN_STD_GBT16998_1997,GB/T 16998-1997,热熔胶粘剂热稳定性测定,Hot-melt adhesives—Determination of thermal stability,national_GBT,current,1997-09-26,1998-04-01,2023-12-28,continue_valid,G38,83.180,thermal_stability,ISO 10363:1992 EQV,,,https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7B530D3A7E05397BE0A0AB82A,
CN_STD_GBT15332_1994,GB/T 15332-1994,热熔胶粘剂软化点的测定 环球法,Determination of softening point of hot-melt adhesives—Ball and ring method,national_GBT,current,1994-12-22,1995-10-01,,,G38,83.180,softening_point,NF T76-106:1981 NEQ,,,https://std.samr.gov.cn/gb/search/gbDetailedCNF?id=71F772D7AD46D3A7E05397BE0A0AB82A,
CN_STD_HGT5052_2016,HG/T 5052-2016,热熔胶粘剂热剪切破坏温度试验方法,Method for heat-fail temperature in shear of hot melt adhesives,industry_HG,current,2016-10-22,2017-04-01,,,G38,83.180,shear_failure_temperature,,,,https://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F15811BB19E05397BE0A0AB44A,
CN_STD_HGT3697_2016,HG/T 3697-2016,纺织品用热熔胶粘剂,Hot-melt adhesives for textiles,industry_HG,current,2016-01-15,2016-07-01,,,G39,83.180,textile_hot_melt_product_requirements,,HG/T 3697-2002,,https://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F231B8BB19E05397BE0A0AB44A,
CN_STD_GBT2790_1995,GB/T 2790-1995,胶粘剂180°剥离强度试验方法 挠性材料对刚性材料,Adhesives—180 degree peel strength test method for flexible-to-rigid assemblies,national_GBT,current,1995-12-20,1996-08-01,2023-12-28,continue_valid,G38,83.180,peel_180,ISO 8510-2:1990 EQV,GB 2790-1981,,https://std.samr.gov.cn/gb/search/gbDetailedCNF?id=71F772D79580D3A7E05397BE0A0AB82A,
CN_STD_GBT7124_2008,GB/T 7124-2008,胶粘剂 拉伸剪切强度的测定（刚性材料对刚性材料）,Adhesives—Determination of tensile lap-shear strength of rigid-to-rigid bonded assemblies,national_GBT,current,2008-06-04,2008-12-01,2023-12-28,continue_valid,G38,83.180,lap_shear_rigid_to_rigid,ISO 4587:2003 IDT,GB/T 7124-1986,20263575-T-606 drafting (issued 2026-06-27),https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D77744D3A7E05397BE0A0AB82A,Current standard remains GB/T 7124-2008 while revision is being drafted.
